@relation MobSensDodge

@attribute xArithMean numeric
@attribute yArithMean numeric
@attribute zArithMean numeric
@attribute xHarmMean numeric
@attribute yHarmMean numeric
@attribute zHarmMean numeric
@attribute xKurtosis numeric
@attribute yKurtosis numeric
@attribute zKurtosis numeric
@attribute xVariance numeric
@attribute yVariance numeric
@attribute zVariance numeric
@attribute label {DODGE,NODODGE}

@data
0.734517,2.5372,7.592677,0.689928,0.206774,0.111866,0.428396,0.230209,0.165532,6.698235,14.064499,17.288971,DODGE
0.748512,2.488099,7.732704,0.673815,0.194105,0.130241,0.418175,0.172648,0.261568,6.710222,14.168241,16.941438,DODGE
0.817329,2.533218,7.696814,0.700845,0.203313,0.130477,0.26603,0.258,0.309317,6.177569,13.979031,16.596841,DODGE
0.81248,2.373183,7.74745,0.702387,0.199876,0.130062,0.276421,1.2432,0.249104,6.168023,16.12286,16.966332,DODGE
0.823294,2.376391,7.674803,0.695839,0.196941,0.130785,0.314417,1.255192,0.302725,6.119699,16.100616,16.533605,DODGE
0.762613,2.424528,7.662546,0.688414,0.195503,0.13097,0.232553,1.150915,0.299525,6.341502,16.476523,16.521007,DODGE
0.751273,2.408315,7.60247,0.706605,0.201681,0.131549,0.238883,1.130626,0.358496,6.336573,16.496337,16.159013,DODGE
0.732545,2.383595,7.590562,0.752309,0.208765,0.131721,0.256348,1.111485,0.357825,6.321729,16.504128,16.141095,DODGE
0.770678,2.497037,7.585079,0.786418,0.212505,0.131789,0.198865,1.313861,0.360475,6.386055,15.633981,16.125541,DODGE
0.797453,2.606834,7.571309,0.81633,0.216703,0.15913,0.271031,1.422077,0.338252,6.292413,15.510657,16.308845,DODGE
0.79398,2.625678,7.496257,0.817392,0.216385,0.166264,0.258501,1.368389,0.192919,6.310741,15.706599,16.699083,DODGE
0.849467,2.637093,7.452404,0.835803,0.214327,0.167344,0.305732,1.378394,0.143069,5.976053,15.701804,16.764083,DODGE
0.832585,2.649481,7.421267,1.001813,0.208444,0.167656,0.311639,1.430449,0.177538,5.973963,15.596166,16.596354,DODGE
0.811238,2.659117,7.440511,1.068563,0.20753,0.167486,0.245554,1.429721,0.15088,6.0615,15.608407,16.722064,DODGE
0.69017,2.579932,7.535395,1.064004,0.216276,0.159693,-0.786626,1.529046,0.27282,5.468438,15.231928,16.415625,DODGE
0.676217,2.47528,7.574249,1.034948,0.147552,0.159147,-0.8046,1.619289,0.266507,5.485423,14.691249,16.501965,DODGE
0.638693,2.465515,7.572624,1.052159,0.150269,0.159164,-0.766826,1.60582,0.2682,5.354273,14.701359,16.494361,DODGE
0.643847,2.469496,7.575442,1.13301,0.149664,0.15913,-0.759986,1.60814,0.26672,5.348133,14.702203,16.503004,DODGE
0.654782,2.48496,7.54787,1.130371,0.149033,0.162048,-0.738851,1.574373,0.190156,5.287223,14.781423,16.736559,DODGE
0.604807,2.440425,7.600741,1.120626,0.127524,0.161627,-0.788263,1.50393,0.132216,5.457456,14.850095,17.157696,DODGE
0.59363,2.440252,7.6405,1.15629,0.127527,0.16062,-0.812799,1.504473,0.185923,5.488849,14.848597,17.074769,DODGE
0.530175,2.415623,7.640829,1.143218,0.128179,0.160593,-0.858031,1.577179,0.186851,5.268222,14.657426,17.072028,DODGE
0.555923,2.43757,7.646437,1.134731,0.122699,0.160539,-0.827345,1.596758,0.180879,5.127312,14.651028,17.100595,DODGE
0.544415,2.397518,7.636421,1.148082,0.580942,0.160685,-0.820317,1.549712,0.179338,5.114709,14.682846,17.087518,DODGE
0.548292,2.416427,7.603832,1.261663,0.579702,0.164522,-0.815104,1.526096,0.095279,5.10997,14.74439,17.369377,DODGE
0.510738,2.374175,7.613004,1.250877,0.526761,0.164415,-0.856059,1.473953,0.090532,5.166076,14.78544,17.399739,DODGE
0.505562,2.375033,7.636485,1.277493,0.526673,0.163769,-0.865508,1.47373,0.12973,5.176736,14.786724,17.32942,DODGE
0.540758,2.340268,7.680281,1.450804,0.529803,0.163163,-0.822172,1.507576,0.126076,5.018581,14.68832,17.42859,DODGE
0.52769,2.368435,7.644998,1.461098,0.528773,0.163938,-0.808178,1.437146,0.086176,4.9983,14.862509,17.477692,DODGE
0.490103,2.367586,7.765192,2.088687,0.52898,0.176107,-0.766668,1.436249,0.208905,4.893033,14.863099,16.850595,DODGE
0.482691,2.456453,7.701838,2.099952,0.533482,0.177033,-0.762211,1.661983,0.210964,4.886962,14.420664,16.706351,DODGE
0.476375,2.433925,7.742562,2.101755,0.536905,0.176667,-0.749187,1.657268,0.165366,4.868865,14.404438,16.95532,DODGE
0.424186,2.512372,7.7597,2.094086,0.542142,0.17632,-0.772289,1.85254,0.185338,4.922865,14.113208,16.932216,DODGE
0.468737,2.531834,7.753723,2.107381,0.53264,0.176493,-0.800602,1.888158,0.173291,4.996913,14.082091,16.954702,DODGE
0.43676,2.510171,7.839132,2.130455,0.534032,0.183206,-0.753829,1.918403,0.254322,4.8979,14.013344,16.014636,DODGE
0.431247,2.563493,7.812132,2.132062,0.541841,0.183406,-0.766604,2.14256,0.296031,4.923588,13.683023,15.802991,DODGE
0.443619,2.554902,7.754569,2.130725,0.542606,0.185661,-0.784541,2.146671,0.186068,4.990231,13.668812,16.031971,DODGE
0.413693,2.611618,7.829913,2.109106,0.529758,0.184622,-0.832921,2.37131,0.171216,5.072036,12.968455,16.263498,DODGE
0.383799,2.611155,7.837522,2.077377,0.529792,0.18453,-0.803733,2.371823,0.168811,5.027472,12.967423,16.28234,DODGE
0.414445,2.571982,7.820478,2.090516,0.530939,0.185752,-0.780409,2.525849,0.121647,4.995047,12.684786,16.420013,DODGE
0.405228,2.581244,7.8237,2.041081,0.528339,0.185733,-0.784987,2.585419,0.117652,4.99968,12.600202,16.453811,DODGE
0.384725,2.585534,7.822185,2.048691,0.528265,0.185755,-0.821126,2.564316,0.117176,5.096198,12.643672,16.452579,DODGE
0.356367,2.577388,7.804933,2.129023,0.528912,0.186057,-0.779787,2.572426,0.103612,5.02935,12.627368,16.45992,DODGE
0.325069,2.640316,7.867537,1.846271,0.512789,0.174495,-0.828204,2.517005,0.241888,5.14758,12.768015,15.962137,DODGE
0.364935,2.614845,7.843137,1.500817,0.5135,0.174999,-0.809908,2.624345,0.210831,4.956939,12.588382,16.001181,DODGE
0.453386,2.624727,7.795965,1.505368,0.580799,0.175447,-0.826321,2.671063,0.261406,4.94639,12.542307,15.74305,DODGE
0.380863,2.668667,7.708855,1.499792,0.579385,0.1369,-0.78737,2.503319,0.116507,5.062977,12.839197,16.387938,DODGE
0.358826,2.663854,7.74022,1.508365,0.475733,0.136674,-0.821993,2.478816,0.073751,5.166049,12.86616,16.651757,DODGE
0.348543,2.640825,7.755653,1.509628,0.480288,0.13649,-0.802642,2.456162,0.066449,5.11316,12.872034,16.697062,DODGE
0.335003,2.555149,7.778299,1.478637,0.475152,0.136235,-0.805568,2.26125,0.052586,5.118506,13.098032,16.775934,DODGE
0.328944,2.508961,7.872875,1.479245,0.477277,0.140709,-0.796687,2.397792,-0.115217,5.083731,12.848848,15.491848,DODGE
0.367583,2.505614,7.840014,1.544967,0.478152,0.140977,-0.847678,2.377425,-0.073211,5.194967,12.879077,15.270592,DODGE
0.38933,2.533931,7.763417,1.540429,0.476242,0.141812,-0.832737,2.326598,-0.032636,5.070963,12.969597,14.881686,DODGE
0.46086,2.539138,7.703733,1.531817,0.4761,0.134779,-0.112063,2.305273,0.230531,5.673277,13.006727,15.892192,DODGE
0.461832,2.544692,7.671111,1.528348,0.47495,0.135279,-0.110697,2.31231,0.224393,5.671329,13.003057,15.855687,DODGE
0.465685,2.591329,7.551136,1.526128,0.465939,0.140884,-0.101173,2.297694,0.150751,5.657356,13.068048,15.864298,DODGE
0.52322,2.590152,7.413454,1.533086,0.46598,0.13661,-0.10873,2.301648,0.149627,5.609479,13.061403,16.861805,DODGE
0.46693,2.540694,7.366528,1.525244,0.456198,0.138121,-0.055478,2.15727,0.080797,5.567704,13.214899,16.989115,DODGE
0.478604,2.652123,7.278339,1.564099,0.459833,0.139481,-0.045723,2.410308,0.099382,5.551822,12.76994,16.657899,DODGE
0.469768,2.639792,7.216186,1.564953,0.461626,0.142742,-0.012952,2.40225,0.000604,5.502342,12.768752,16.895035,DODGE
0.428219,2.639454,7.220349,1.578495,0.461807,0.142704,0.101114,2.40022,-0.005013,5.311939,12.77149,16.921918,DODGE
0.431192,2.613574,7.195224,0.9681,0.467937,0.142979,0.10128,2.373012,0.020393,5.310345,12.781852,16.798925,DODGE
0.408174,2.564782,7.226064,0.973488,0.458721,0.14267,0.190913,2.213604,-0.015385,5.219852,12.957141,16.979168,DODGE
0.405231,2.630998,7.104858,0.974072,0.457906,0.136061,0.203627,2.173733,-0.098796,5.208893,13.894795,17.683712,DODGE
0.350983,2.582957,7.117648,0.966376,0.447945,0.135911,0.252673,2.052018,-0.10929,5.189494,14.053365,17.739007,DODGE
0.327926,2.579848,7.098504,0.945981,0.448127,0.136985,0.227794,2.057835,-0.14821,5.226058,14.043555,17.846499,DODGE
0.340379,2.544786,7.080368,0.945034,0.270801,0.137291,0.187821,2.00369,-0.14901,5.310218,14.104935,17.822182,DODGE
0.381726,2.587786,6.847738,0.97529,0.269231,0.135516,0.074185,1.867851,1.013149,5.422486,14.3735,20.128321,DODGE
0.305697,2.488238,6.878731,0.969718,0.264839,0.135213,0.114783,1.626931,0.965936,5.613167,15.176017,20.339231,DODGE
0.323834,2.431101,6.8674,0.968698,0.257182,0.135426,0.100308,1.44397,0.961559,5.759603,15.556479,20.329399,DODGE
0.280888,2.414925,6.842137,0.958697,0.259748,0.135887,0.147956,1.442935,0.956396,5.737043,15.549465,20.295823,DODGE
0.29809,2.406222,6.843759,0.957668,0.211192,0.135843,0.120244,1.418649,0.958522,5.872155,15.590078,20.293387,DODGE
0.285582,2.408167,6.805622,0.961854,0.21104,0.136704,0.166201,1.416623,0.934621,5.833077,15.594691,20.285562,DODGE
0.279202,2.426083,6.781282,0.963305,0.209685,0.137021,0.147979,1.395522,0.95493,5.864048,15.642774,20.185145,DODGE
0.23167,2.490389,6.744469,0.944139,0.205679,0.12559,0.279053,1.272757,0.850172,5.717657,15.99076,20.657645,DODGE
0.224605,2.487972,6.746595,0.949914,0.206148,0.125564,0.299897,1.271416,0.848175,5.70434,15.991819,20.667314,DODGE
0.222232,2.492976,6.722983,0.950659,0.205802,0.125965,0.309652,1.26593,0.850285,5.696837,16.005148,20.618417,DODGE
0.214971,2.513338,6.710843,0.95184,0.202799,0.126136,0.344446,1.266103,0.857732,5.663277,16.017199,20.575911,DODGE
0.189271,2.536293,6.699617,0.934552,0.201643,0.126293,0.3791,1.226283,0.864914,5.652706,16.113508,20.536036,DODGE
0.164903,2.601518,6.759113,0.9161,0.208989,0.124915,0.414875,1.422956,0.885545,5.641494,15.600389,20.593948,DODGE
0.175618,2.526328,6.865338,0.907922,0.202228,0.11673,0.438426,1.213112,0.982267,5.610452,16.253501,20.509296,DODGE
0.143309,2.703732,9.47094,0.319276,0.18911,0.143645,-0.620297,0.245084,2.870225,2.73768,3.033446,5.70403,DODGE
0.147375,2.693774,9.472283,0.315087,0.193454,0.143631,-0.603965,0.190104,2.868457,2.728225,3.055674,5.704904,DODGE
0.175763,2.737334,9.400121,0.337248,0.191195,0.148094,-0.525366,0.231707,2.715568,2.669833,3.24804,6.292934,DODGE
0.220053,2.721833,9.427625,0.347062,0.192602,0.147659,-0.469772,0.25469,2.851679,2.596194,3.226804,6.218382,DODGE
0.230898,2.764305,9.416004,0.345005,0.18955,0.147839,-0.472448,0.20754,2.790606,2.539554,3.359711,6.250016,DODGE
0.214564,2.770783,9.412431,0.372658,0.189175,0.147887,-0.437945,0.184754,2.778805,2.509898,3.378079,6.255641,DODGE
0.222126,2.758205,9.397563,0.428007,0.192706,0.148027,-0.422633,0.139297,2.822449,2.505345,3.397774,6.228438,DODGE
0.202493,2.763384,9.366127,1.48334,0.192394,0.148656,-0.388117,0.122236,2.6119,2.474457,3.411585,6.364143,DODGE
0.252621,2.804019,9.320373,1.492118,0.18576,0.149206,-0.347462,0.121298,2.60574,2.527964,3.445935,6.358717,DODGE
0.264783,2.750761,9.362459,1.535031,0.193664,0.148665,-0.311299,0.112732,2.655448,2.514386,3.344648,6.335432,DODGE
0.227813,2.725537,9.409409,1.56737,0.20472,0.148237,-0.223961,0.03115,2.494657,2.692273,3.383907,6.463161,DODGE
0.202563,2.710144,9.420832,1.546654,0.206551,0.148108,-0.214902,0.03278,2.49839,2.672012,3.375128,6.463543,DODGE
0.206859,2.728111,9.406029,1.545343,0.20365,0.148267,-0.230038,0.053223,2.505155,2.686059,3.372468,6.456247,DODGE
0.2316,2.799143,9.299853,1.566715,0.209433,0.149056,-0.143748,-0.449374,2.058192,2.644592,3.058514,5.725512,DODGE
0.216863,2.81517,9.302542,1.347625,0.206046,0.148992,-0.130162,-0.415677,2.080843,2.630735,3.042681,5.710246,DODGE
0.232821,2.788863,9.287326,1.343213,0.17683,0.149098,-0.175242,-0.131036,2.173831,2.689978,3.240014,5.626307,DODGE
0.234002,2.760407,9.306856,1.342785,0.186268,0.148898,-0.179551,-0.196056,2.151921,2.693386,3.270467,5.651384,DODGE
0.220524,2.767083,9.346362,1.349799,0.257474,0.148348,-0.136009,-0.177424,2.279711,2.657606,3.234985,5.601379,DODGE
0.218733,2.766647,9.373392,1.362616,0.257783,0.14816,-0.136254,-0.17957,2.125551,2.65701,3.236376,5.750026,DODGE
0.225741,2.83995,9.276863,1.311795,0.439713,0.152786,-0.138877,-0.017668,2.044021,2.661092,3.355799,6.272578,DODGE
0.214154,2.818963,9.270216,1.337576,0.443642,0.152874,-0.117925,-0.048811,2.022859,2.645499,3.368145,6.280551,DODGE
0.225241,2.80681,9.272544,1.328186,0.444883,0.152847,-0.149328,-0.038965,2.02583,2.667902,3.358957,6.280512,DODGE
0.214751,2.798035,9.303657,1.332191,0.445193,0.152097,-0.111944,-0.017664,2.260234,2.636512,3.313929,6.113191,DODGE
0.222469,2.789026,9.275807,1.313566,0.446044,0.152408,-0.075472,-0.006273,2.250043,2.621401,3.304978,6.097651,DODGE
