time,longitude,latitude,speed,bearing,accuracy
1385836678105,7.58939233,50.34296269,1.8200275,37.8,3.0
1385836678105,7.58939233,50.34296269,1.8200275,37.8,3.0
1385836676826,7.58938043,50.34295402,1.9525625,25.0,3.0
1385836676826,7.58938043,50.34295402,1.9525625,25.0,3.0
1385836675553,7.58936749,50.34294428,1.25,49.3,3.0
1385836675553,7.58936749,50.34294428,1.25,49.3,3.0
1385836674754,7.58935077,50.34293512,1.5,48.4,4.0
1385836674754,7.58935077,50.34293512,1.5,48.4,4.0
1385836673560,7.58932902,50.34292241,1.25,47.6,4.0
1385836673560,7.58932902,50.34292241,1.25,47.6,4.0
1385836672534,7.58931466,50.34291401,1.25,47.6,3.0
1385836672534,7.58931466,50.34291401,1.25,47.6,3.0
1385836671537,7.58929494,50.34290333,2.304886,39.1,3.0
1385836671537,7.58929494,50.34290333,2.304886,39.1,3.0
1385836670537,7.58926921,50.34288833,1.5811388,47.3,5.0
1385836670537,7.58926921,50.34288833,1.5811388,47.3,5.0
1385836669536,7.58925518,50.34288004,1.5811388,47.3,3.0
1385836669536,7.58925518,50.34288004,1.5811388,47.3,3.0
1385836668931,7.5888431,50.3427248,,,42.0
1385836668931,7.5888431,50.3427248,,,42.0
1385836668543,7.58923709,50.34286994,1.6007811,52.0,3.0
1385836668543,7.58923709,50.34286994,1.6007811,52.0,3.0
1385836667536,7.58921807,50.34286166,1.6007811,51.4,3.0
1385836667536,7.58921807,50.34286166,1.6007811,51.4,3.0
1385836666959,7.5891986,50.34285397,1.6007811,42.7,3.0
1385836666959,7.5891986,50.34285397,1.6007811,42.7,3.0
1385836664475,7.58915446,50.34283254,1.5811388,49.3,3.0
1385836664475,7.58915446,50.34283254,1.5811388,49.3,3.0
1385836663831,7.58913132,50.342821,2.0615528,48.7,4.0
1385836663831,7.58913132,50.342821,2.0615528,48.7,4.0
1385836663015,7.58911316,50.34280593,2.6925824,54.7,5.0
1385836663015,7.58911316,50.34280593,2.6925824,54.7,5.0
1385836659325,7.58904118,50.34277155,1.3462912,40.7,4.0
1385836659325,7.58904118,50.34277155,1.3462912,40.7,4.0
1385836647502,7.58875412,50.34274685,1.6007811,73.4,4.0
1385836647502,7.58875412,50.34274685,1.6007811,73.4,4.0
1385836642753,7.58869773,50.34271898,1.25,36.8,4.0
1385836642753,7.58869773,50.34271898,1.25,36.8,4.0
1385836641486,7.58867625,50.34270862,1.6007811,36.8,4.0
1385836641486,7.58867625,50.34270862,1.6007811,36.8,4.0
1385836640486,7.58865288,50.34270911,3.7165172,55.0,5.0
1385836640486,7.58865288,50.34270911,3.7165172,55.0,5.0
1385836625461,7.58831764,50.34281549,0.9013878,133.8,4.0
1385836625461,7.58831764,50.34281549,0.9013878,133.8,4.0
1385836624605,7.58829485,50.34282554,1.5811388,134.5,5.0
1385836624605,7.58829485,50.34282554,1.5811388,134.5,5.0
1385836623919,7.5875534,50.3430417,,,56.0
1385836623919,7.5875534,50.3430417,,,56.0
1385836623515,7.58827926,50.34283534,1.5811388,134.5,4.0
1385836623515,7.58827926,50.34283534,1.5811388,134.5,4.0
1385836622337,7.58824524,50.34285046,1.118034,130.1,5.0
1385836622337,7.58824524,50.34285046,1.118034,130.1,5.0
1385836621372,7.58823517,50.34285588,1.118034,130.1,4.0
1385836621372,7.58823517,50.34285588,1.118034,130.1,4.0
1385836614512,7.58805855,50.34292638,1.8200275,128.2,4.0
1385836614512,7.58805855,50.34292638,1.8200275,128.2,4.0
1385836600505,7.58787702,50.34293939,0.5,131.4,4.0
1385836600505,7.58787702,50.34293939,0.5,131.4,4.0
1385836589828,7.58775452,50.34296612,1.118034,108.5,4.0
1385836589828,7.58775452,50.34296612,1.118034,108.5,4.0
1385836579586,7.58771402,50.34299846,2.0155644,212.7,3.0
1385836579586,7.58771402,50.34299846,2.0155644,212.7,3.0
1385836578896,7.5877852,50.343428,,,64.0
1385836578896,7.5877852,50.343428,,,64.0
1385836578340,7.58772312,50.34300808,2.5,214.5,4.0
1385836578340,7.58772312,50.34300808,2.5,214.5,4.0
1385836577369,7.58774127,50.34302308,1.4142135,201.5,4.0
1385836577369,7.58774127,50.34302308,1.4142135,201.5,4.0
1385836570412,7.5877824,50.34308573,1.3462912,165.5,5.0
1385836566324,7.58778232,50.34313249,1.9525625,197.3,5.0
1385836564585,7.58779358,50.34315878,2.5,189.7,3.0
1385836548390,7.58763,50.3432852,0.0,,5.0
1385836548390,7.58763,50.3432852,0.0,,5.0
1385836547399,7.58762909,50.3432854,0.0,,4.0
1385836547399,7.58762909,50.3432854,0.0,,4.0
1385836546979,7.58762912,50.3432854,0.0,,5.0
1385836542349,7.58762912,50.34328554,0.0,,8.0
1385836542349,7.58762912,50.34328554,0.0,,8.0
1385836537793,7.58762704,50.34328677,0.0,,4.0
1385836537793,7.58762704,50.34328677,0.0,,4.0
1385836537043,7.58762613,50.34328735,0.0,,4.0
1385836537043,7.58762613,50.34328735,0.0,,4.0
1385836534580,7.58762792,50.34328665,0.0,,4.0
1385836534580,7.58762792,50.34328665,0.0,,4.0
1385836533889,7.5879193,50.3436703,,,52.0
1385836533889,7.5879193,50.3436703,,,52.0
1385836533335,7.58762845,50.34328643,0.0,,5.0
1385836533335,7.58762845,50.34328643,0.0,,5.0
1385836532701,7.58762851,50.34328641,0.0,,4.0
1385836532701,7.58762851,50.34328641,0.0,,4.0
1385836531359,7.58762705,50.34328714,0.0,,5.0
1385836531359,7.58762705,50.34328714,0.0,,5.0
1385836520355,7.58761952,50.34329076,0.0,,4.0
1385836508028,7.58765189,50.34326925,0.0,,6.0
1385836508028,7.58765189,50.34326925,0.0,,6.0
1385836493411,7.5877186,50.34323661,0.0,,6.0
1385836493411,7.5877186,50.34323661,0.0,,6.0
1385836489353,7.58772008,50.34323537,0.0,,7.0
1385836489353,7.58772008,50.34323537,0.0,,7.0
1385836488899,7.5880272,50.343809,,,41.0
1385836488899,7.5880272,50.343809,,,41.0
1385836488261,7.58772142,50.34323517,0.0,,7.0
1385836488261,7.58772142,50.34323517,0.0,,7.0
1385836487274,7.58772313,50.34323414,0.0,,9.0
1385836487274,7.58772313,50.34323414,0.0,,9.0
1385836486557,7.58772313,50.34323414,0.0,,6.0
1385836483692,7.58773535,50.34322069,0.0,,6.0
1385836483692,7.58773535,50.34322069,0.0,,6.0
1385836473023,7.5878152,50.3432003,1.0,201.7,6.0
1385836473023,7.5878152,50.3432003,1.0,201.7,6.0
1385836462021,7.58787964,50.34330257,2.75,158.0,7.0
1385836462021,7.58787964,50.34330257,2.75,158.0,7.0
1385836449507,7.58792797,50.34345769,1.75,201.9,7.0
1385836449507,7.58792797,50.34345769,1.75,201.9,7.0
1385836443728,7.5880541,50.343891,,,49.0
1385836443728,7.5880541,50.343891,,,49.0
1385836443535,7.58797451,50.34349693,1.0,213.5,12.0
1385836443535,7.58797451,50.34349693,1.0,213.5,12.0
1385836442533,7.58797743,50.34350805,1.677051,217.0,12.0
1385836442533,7.58797743,50.34350805,1.677051,217.0,12.0
1385836441628,7.58800102,50.34349255,4.031129,153.6,12.0
1385836441628,7.58800102,50.34349255,4.031129,153.6,12.0
1385836439671,7.58797379,50.34353338,2.236068,166.6,13.0
1385836439671,7.58797379,50.34353338,2.236068,166.6,13.0
1385836436551,7.58799827,50.34357813,1.25,174.6,20.0
1385836436551,7.58799827,50.34357813,1.25,174.6,20.0
1385836435552,7.58799961,50.34359166,1.25,175.8,17.0
1385836435552,7.58799961,50.34359166,1.25,175.8,17.0
1385836435051,7.58799932,50.3436016,1.3462912,174.3,16.0
1385836435051,7.58799932,50.3436016,1.3462912,174.3,16.0
