time,longitude,latitude,speed,bearing,accuracy
1385901801993,7.5891339,50.3427398,,,34.0
1385901801993,7.5891339,50.3427398,,,34.0
1385901848076,7.58979921,50.34322496,8.355388,78.8,15.0
1385901848353,7.5894075,50.3427696,,,45.0
1385901848353,7.5894075,50.3427696,,,45.0
1385901848076,7.58979921,50.34322496,8.355388,78.8,15.0
1385901849552,7.58985031,50.34318605,0.0,,7.0
1385901849552,7.58985031,50.34318605,0.0,,7.0
1385901859419,7.58985144,50.34318544,0.0,,54.0
1385901859419,7.58985144,50.34318544,0.0,,54.0
1385901891534,7.59054532,50.34295549,2.0615528,74.8,26.0
1385901891534,7.59054532,50.34295549,2.0615528,74.8,26.0
1385901891950,7.59059038,50.34296174,1.8200275,84.2,20.0
1385901891950,7.59059038,50.34296174,1.8200275,84.2,20.0
1385901893219,7.59057836,50.34297506,1.0,60.8,16.0
1385901893219,7.59057836,50.34297506,1.0,60.8,16.0
1385901893951,7.59057074,50.34297329,0.75,51.5,13.0
1385901898083,7.5906468,50.34303419,0.75,47.2,8.0
1385901898083,7.5906468,50.34303419,0.75,47.2,8.0
1385901912063,7.59086563,50.34319808,1.5,64.3,5.0
1385901912063,7.59086563,50.34319808,1.5,64.3,5.0
1385901923391,7.59101677,50.34326566,0.75,54.0,6.0
1385901932831,7.59116043,50.34329621,1.25,60.2,5.0
1385901932831,7.59116043,50.34329621,1.25,60.2,5.0
1385901933379,7.59117604,50.34330073,1.25,63.9,5.0
1385901933379,7.59117604,50.34330073,1.25,63.9,5.0
1385901934380,7.59119279,50.34330179,1.25,73.0,5.0
1385901934380,7.59119279,50.34330179,1.25,73.0,5.0
1385901935504,7.59121683,50.34330509,1.5,70.0,5.0
1385901935504,7.59121683,50.34330509,1.5,70.0,5.0
1385901936430,7.59123008,50.34330495,1.0,69.7,5.0
1385901936430,7.59123008,50.34330495,1.0,69.7,5.0
1385901937436,7.59124203,50.34330655,1.0,56.4,5.0
1385901937436,7.59124203,50.34330655,1.0,56.4,5.0
1385901938435,7.59125111,50.34330679,1.0,61.3,5.0
1385901938435,7.59125111,50.34330679,1.0,61.3,5.0
1385901944500,7.59128377,50.34331788,0.75,49.9,7.0
1385901944500,7.59128377,50.34331788,0.75,49.9,7.0
1385901964604,7.59160419,50.3436171,1.25,39.3,7.0
1385901964604,7.59160419,50.3436171,1.25,39.3,7.0
1385901966651,7.59163003,50.34363466,1.25,39.5,9.0
1385901966651,7.59163003,50.34363466,1.25,39.5,9.0
1385901967326,7.59164599,50.34364219,1.0,40.8,7.0
1385901967326,7.59164599,50.34364219,1.0,40.8,7.0
1385901981521,7.59195327,50.34377103,1.5811388,42.3,5.0
1385901981521,7.59195327,50.34377103,1.5811388,42.3,5.0
1385901982799,7.59196159,50.34377358,1.5811388,42.0,5.0
